status;replacement_uniqueName;replacement_sourceID;tag;uniqueName;sourceID
B;;;;ece_frontpage;9
B;;;;forbruker_bolig;2755
S;forbruker_bolig;2755;;forbruker_bolig_nyhetsbrev;2911
B;;;;bolig_guide;8172
B;;;;bolig_eksperter;8553
B;;;;bolig_inspirasjon;8233
B;;;;bolig_boligokonomi;8234
B;;;;bolig_boligabc;8312
B;;;;bolig_boligsok;8332
B;;;;bolig_boligannonser;8173
B;;;;okonomi;3189
B;;;;okonomi_innland;8992
S;okonomi_innland;8992;;pengenedine_skattetallene;8652
B;;;;okonomi_utland;8993
B;;;;okonomi_neste_100;8995
B;;;;forbruker_jobbogstudier;3894
S;forbruker_jobbogstudier;3894;;forbruker_jobbogstudier_siste100;3898
S;forbruker_jobbogstudier;3894;;forbruker_jobbogstudier_nyhetsbrev;3912
B;;;;jobbsok;7931
B;;;;jobb_guide;7932
S;forbruker_jobbogstudier;3894;;jobb_lonn;7933
B;;;;jobb_eksperter;8512
S;forbruker_jobbogstudier;3894;;jobb_karriere;7935
R;forbruker_jobbogstudier;3894;;jobb_stillinger;7936
R;forbruker_jobbogstudier;3894;;jobb_stillinger_stillingsannonse;7938
S;forbruker_jobbogstudier;3894;;jobb_rettigheter;7937
R;forbruker_jobbogstudier;3894;;jobb_andre_partnere;8392
S;forbruker_jobbogstudier;3894;;jobb_jobbsoker;7934
D;;;;hilsen;5715
B;;;;vegmeldinger;5882
D;;;;googlemaps;6029
B;;;;sitemap;6429
B;;;;webtv;6569
B;;;;klima;6570
B;;;;quiz;6610
S;quiz;6610;;quiz-aktuelt;6611
S;quiz;6610;01000000;quiz_kultur;6612
S;quiz;6610;10005000;quiz_reise;6613
s;quiz;6610;;quiz_geografi;6614
S;quiz;6610;;quiz-spes-skole;7171
S;quiz;6610;;quiz_skolepensum;6616
S;quiz;6610;;quiz_noetter;6617
S;quiz;6610;;quiz_annet;6618
S;quiz;6610;15000000;quiz_sport;6615
B;;;;konkurranse;6781
D;;;;henvisninger;6871
D;;;;henvisninger_fotball;6872
D;;;;henvisninger_e24;6873
D;;;;henvisninger_dinmat;6874
D;;;;henvisninger_oslopuls;7530
D;;;;henvisninger_vertikal;10314
D;;;;henvisninger_vertikal_bil;10315
D;;;;100tips;7070
B;;;;paascenen;7172
B;;;;a;7410
B;;;;tegneserier;7611
B;;;;boligannonser;7690
S;boligannonser;7690;;boligannonser_ekstra;10294
D;;;;leve;7950
D;;;;leve_hjelpemeg;7951
D;;;;jordskjelv;8030
D;;;;beta_bolig;8113
D;;;;beta_bolig_nyhetsbrev;8235
B;;;;nettprat;8212
B;;;;underholdning;8232
D;;;;ad;8292
B;;;;pengenedine;8372
S;pengenedine;8372;;pengenedine_nyhetsbrev;8374
S;pengenedine;8372;;pengenedine_servicetester;8378
S;pengenedine;8372;;pengenedine_pristester;8377
S;pengenedine;8372;;pengenedine_selvangivelse;8375
D;;;;dennyttige;8413
B;;;;tvguide;8619
R;;;;nyhetsvarsel;8832
B;;;;mobildesking2;8952
B;;;;arkivet;9614
B;;;;embed;9754
R;;;;webtvbeta;9774
B;;;;statsmakt;10014
B;;;;ipadfeed;10214
B;;;;oljefondet;10254
B;;;;nyheter;12
B;;;;nyheter_oslo;5860
S;nyheter_oslo;5860;;nyheter_oslo_siste;5884
S;nyheter_oslo;5860;;nyheter_oslo_logg;5883
B;;;;nyheter_iriks;14
B;;;;nyheter_iriks_politikk;377
S;nyheter_iriks_politikk;377;11013000;nyheter_iriks_politikk_statsbudsjettet;5355
S;nyheter_iriks_politikk;377;11010000;nyheter_iriks_politikk_partiene;6229
S;nyheter_iriks_politikk;377;11010010;nyheter_iriks_politikk_partiene_arbeiderpartiet;8313
S;nyheter_iriks_politikk;377;11010012;nyheter_iriks_politikk_partiene_fremskrittspartiet;8314
S;nyheter_iriks_politikk;377;11010011;nyheter_iriks_politikk_partiene_hoyre;8315
S;nyheter_iriks_politikk;377;11010017;nyheter_iriks_politikk_partiene_rodt;8320
S;nyheter_iriks_politikk;377;11010013;nyheter_iriks_politikk_partiene_krf;8317
S;nyheter_iriks_politikk;377;11010015;nyheter_iriks_politikk_partiene_venstre;8318
S;nyheter_iriks_politikk;377;11010014;nyheter_iriks_politikk_partiene_senterpartiet;8319
S;nyheter_iriks_politikk;377;11010016;nyheter_iriks_politikk_partiene_sv;8316
S;nyheter_iriks_politikk;377;;nyheter_iriks_politikk_temasider;6231
